G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,seasons,name
31,604,893,67.6,8403,88,9.9,16,1.8,9.4,10.57,13.9,271.1,175.6,3,Sam Bradford
55,661,995,66.4,9285,88,8.8,16,1.6,9.3,10.38,14.0,168.8,170.8,4,Tim Tebow
35,695,1110,62.6,8148,60,5.4,27,2.4,7.3,7.33,11.7,232.8,137.2,3,Jimmy Clausen
53,1157,1645,70.3,13253,112,6.8,45,2.7,8.1,8.19,11.5,250.1,155.0,4,Colt McCoy
30,408,637,64.1,4265,19,3.0,20,3.1,6.7,5.88,10.5,142.2,123.9,4,Mike Kafka
35,348,629,55.3,4187,36,5.7,22,3.5,6.7,6.23,12.0,119.6,123.1,4,Jonathan Crompton
45,768,1361,56.4,10112,76,5.6,36,2.6,7.4,7.36,13.2,224.7,132.0,4,Rusty Smith
53,1171,1763,66.4,12905,102,5.8,36,2.0,7.3,7.56,11.0,243.5,142.9,4,Dan LeFevour
27,421,682,61.7,5018,49,7.2,20,2.9,7.4,7.48,11.9,185.9,141.4,3,Tony Pike
23,522,830,62.9,6284,38,4.6,12,1.4,7.6,7.84,12.0,273.2,138.7,2,Levi Brown
38,552,861,64.1,5970,38,4.4,26,3.0,6.9,6.46,10.8,157.1,130.9,4,Sean Canfield
45,610,999,61.1,8317,66,6.6,31,3.1,8.3,8.25,13.6,184.8,146.6,4,Zac Robinson
6,6,12,50.0,54,0,0.0,0,0.0,4.5,4.50,9.0,9.0,87.8,7,Cam Newton
40,619,1147,54.0,7639,53,4.6,35,3.1,6.7,6.21,12.3,191.0,119.1,4,Jake Locker
31,568,933,60.9,6822,40,4.3,18,1.9,7.3,7.30,12.0,220.1,132.6,3,Blaine Gabbert
35,596,965,61.8,6872,49,5.1,30,3.1,7.1,6.74,11.5,196.3,132.1,4,Christian Ponder
50,812,1317,61.7,10314,71,5.4,30,2.3,7.8,7.88,12.7,206.3,140.7,4,Andy Dalton
51,740,1271,58.2,10098,82,6.5,24,1.9,7.9,8.39,13.6,198.0,142.5,4,Colin Kaepernick
11,61,141,43.3,892,7,5.0,5,3.5,6.3,5.72,14.6,81.1,105.7,7,Ryan Mallett
39,542,907,59.8,7377,56,6.2,31,3.4,8.1,7.83,13.6,189.2,141.6,4,Ricky Stanzi
46,779,1427,54.6,10084,74,5.2,60,4.2,7.1,6.21,12.9,219.2,122.7,4,Nathan Enderle
50,495,865,57.2,7017,44,5.1,20,2.3,8.1,8.09,14.2,140.3,137.5,4,Tyrod Taylor
35,436,658,66.3,5691,39,5.9,10,1.5,8.6,9.15,13.1,162.6,155.4,4,Greg McElroy
38,713,1064,67.0,9430,82,7.7,22,2.1,8.9,9.47,13.2,248.2,162.8,3,Andrew Luck
41,800,1192,67.1,10366,78,6.5,17,1.4,8.7,9.36,13.0,252.8,158.9,4,Robert Griffin III
50,484,774,62.5,5450,42,5.4,21,2.7,7.0,6.91,11.3,109.0,134.2,4,Ryan Tannehill
30,767,1103,69.5,9260,75,6.8,27,2.4,8.4,8.65,12.1,308.7,157.6,4,Brandon Weeden
25,412,680,60.6,5082,33,4.9,15,2.2,7.5,7.45,12.3,203.3,135.0,3,Brock Osweiler
14,225,309,72.8,3175,33,10.7,4,1.3,10.3,11.83,14.1,226.8,191.8,7,Russell Wilson
1,5,8,62.5,57,0,0.0,0,0.0,7.1,7.13,11.4,57.0,122.4,8,Nick Foles
45,723,1128,64.1,9131,66,5.9,30,2.7,8.1,8.07,12.6,202.9,146.1,4,Kirk Cousins
49,961,1732,55.5,12690,90,5.2,47,2.7,7.3,7.14,13.2,259.0,128.8,4,Ryan Lindley
47,687,1110,61.9,8944,68,6.1,26,2.3,8.1,8.23,13.0,190.3,145.1,4,Chandler Harnish
43,600,897,66.9,7741,47,5.2,28,3.1,8.6,8.27,12.9,180.0,150.4,4,EJ Manuel
44,988,1465,67.4,11662,98,6.7,21,1.4,8.0,8.65,11.8,265.0,153.5,4,Geno Smith
36,646,1069,60.4,7411,63,5.9,31,2.9,6.9,6.81,11.5,205.9,132.3,4,Mike Glennon
47,1001,1562,64.1,12327,116,7.4,48,3.1,7.9,7.99,12.3,262.3,148.7,4,Matt Barkley
47,791,1312,60.3,9190,70,5.3,28,2.1,7.0,7.11,11.6,195.5,132.5,4,Ryan Nassib
37,593,948,62.6,7765,52,5.5,26,2.7,8.2,8.05,13.1,209.9,144.0,5,Tyler Wilson
53,1388,2183,63.6,16646,123,5.6,52,2.4,7.6,7.68,12.0,314.1,141.5,4,Landry Jones
46,1066,1672,63.8,12013,73,4.4,51,3.1,7.2,6.69,11.3,261.2,132.4,4,Zac Dysert
42,898,1389,64.7,9465,51,3.7,40,2.9,6.8,6.25,10.5,225.4,128.2,4,Sean Renfree
37,585,891,65.7,7598,56,6.3,19,2.1,8.5,8.82,13.0,205.4,153.8,3,Blake Bortles
26,595,863,68.9,7820,63,7.3,22,2.5,9.1,9.37,13.1,300.8,164.1,2,Johnny Manziel
39,781,1142,68.4,9817,72,6.3,24,2.1,8.6,8.91,12.6,251.7,157.2,3,Teddy Bridgewater
44,1087,1630,66.7,12843,113,6.9,24,1.5,7.9,8.60,11.8,291.9,152.8,5,Derek Carr
47,693,1248,55.5,9003,52,4.2,39,3.1,7.2,6.64,13.0,191.6,123.6,4,Logan Thomas
18,192,368,52.2,2732,16,4.3,10,2.7,7.4,7.07,14.2,151.8,123.4,7,Tom Savage
52,921,1478,62.3,13166,121,8.2,41,2.8,8.9,9.30,14.3,253.2,158.6,4,Aaron Murray
30,407,659,61.8,5783,35,5.3,15,2.3,8.8,8.81,14.2,192.8,148.4,3,Zach Mettenberger
25,639,938,68.1,8382,66,7.0,22,2.3,8.9,9.29,13.1,335.3,161.7,2,David Fales
49,1035,1642,63.0,11402,92,5.6,42,2.6,6.9,6.91,11.0,232.7,134.7,4,Keith Wenning
47,901,1402,64.3,11904,107,7.6,39,2.8,8.5,8.77,13.2,253.3,155.2,4,Tajh Boyd
24,305,538,56.7,3301,13,2.4,23,4.3,6.1,4.70,10.8,137.5,107.7,8,Garrett Gilbert
27,562,851,66.0,7964,65,7.6,28,3.3,9.4,9.41,14.2,295.0,163.3,2,Jameis Winston
41,779,1167,66.8,10796,105,9.0,14,1.2,9.3,10.51,13.9,263.3,171.8,3,Marcus Mariota
37,688,1113,61.8,9190,64,5.8,27,2.4,8.3,8.32,13.4,248.4,145.3,4,Garrett Grayson
47,1187,1838,64.6,13600,83,4.5,54,2.9,7.4,6.98,11.5,289.4,135.8,4,Sean Mannion
37,530,845,62.7,8195,62,7.3,10,1.2,9.7,10.63,15.5,221.5,166.0,4,Bryce Petty
40,837,1241,67.4,9966,75,6.0,25,2.0,8.0,8.33,11.9,249.2,150.8,3,Brett Hundley
44,550,934,58.9,5931,27,2.9,24,2.6,6.4,5.77,10.8,134.8,116.6,4,Trevor Siemian
37,977,1569,62.3,12200,96,6.1,30,1.9,7.8,8.14,12.5,329.7,144.0,3,Jared Goff
38,758,1205,62.9,8863,59,4.9,23,1.9,7.4,7.48,11.7,233.2,137.0,3,Paxton Lynch
38,693,1235,56.1,8457,48,3.9,31,2.5,6.8,6.50,12.2,222.6,121.4,3,Christian Hackenberg
26,458,765,59.9,5268,43,5.6,11,1.4,6.9,7.36,11.5,202.6,133.4,8,Jacoby Brissett
51,851,1261,67.5,10339,88,7.0,19,1.5,8.2,8.92,12.1,202.7,156.4,4,Cody Kessler
43,673,1170,57.5,9194,71,6.1,22,1.9,7.9,8.23,13.7,213.8,139.8,4,Connor Cook
49,734,1169,62.8,9376,70,6.0,23,2.0,8.0,8.33,12.8,191.3,146.0,4,Dak Prescott
23,160,257,62.3,2209,13,5.1,7,2.7,8.6,8.38,13.8,96.0,145.7,3,Cardale Jones
51,727,1103,65.9,9385,75,6.8,29,2.6,8.5,8.69,12.9,184.0,154.6,4,Kevin Hogan
